Serial_date,CO2 [ppmv]
1979-01-01-00:00,338.7412988
1979-01-08-14:30,339.1796202
1979-01-16-05:00,339.565642
1979-01-23-19:30,339.8817187
1979-01-31-10:00,340.1314907
1979-02-08-00:30,340.3336385
1979-02-15-15:00,340.5149573
1979-02-23-05:30,340.7080971
1979-03-02-20:00,340.9398473
1979-03-10-10:30,341.1637758
1979-03-18-01:00,341.4733735
1979-03-25-15:30,341.808174
1979-04-02-06:00,342.1323314
1979-04-09-20:30,342.4080177
1979-04-17-11:00,342.5955576
1979-04-25-01:30,342.658132
1979-05-02-16:00,342.5730514
1979-05-10-06:30,342.329001
1979-05-17-21:00,341.9315795
1979-05-25-11:30,341.3978238
1979-06-02-02:00,340.7504203
1979-06-09-16:30,340.0243078
1979-06-17-07:00,339.2433938
1979-06-24-21:30,338.4245637
1979-07-02-12:00,337.5902664
1979-07-10-02:30,336.7490377
1979-07-17-17:00,335.9111451
1979-07-25-07:30,335.1072837
1979-08-01-22:00,334.3674058
1979-08-09-12:30,333.7336384
1979-08-17-03:00,333.2612522
1979-08-24-17:30,332.9916571
1979-09-01-08:00,332.9164939
1979-09-08-22:30,333.1194015
1979-09-16-13:00,333.5400275
1979-09-24-03:30,334.1365697
1979-10-01-18:00,334.8403672
1979-10-09-08:30,335.5848732
1979-10-16-23:00,336.3093852
1979-10-24-13:30,336.9571019
1979-11-01-04:00,337.5033753
1979-11-08-18:30,337.9443416
1979-11-16-09:00,338.2916022
1979-11-23-23:30,338.5781907
1979-12-01-14:00,338.8437495
1979-12-09-04:30,339.1377556
1979-12-16-19:00,339.4677201
1979-12-24-09:30,339.8691145
1980-01-01-00:00,339.817538
1980-01-08-15:00,340.3155346
1980-01-16-06:00,340.4418965
1980-01-23-21:00,340.8813861
1980-01-31-12:00,341.2919922
1980-02-08-03:00,341.6543003
1980-02-15-18:00,341.9499302
1980-02-23-09:00,342.1772397
1980-03-02-00:00,342.333853
1980-03-09-15:00,342.431907
1980-03-17-06:00,342.4727292
1980-03-24-21:00,342.4965225
1980-04-01-12:00,342.4965949
1980-04-09-03:00,342.4789598
1980-04-16-18:00,342.4580109
1980-04-24-09:00,342.4182174
1980-05-02-00:00,342.3502316
1980-05-09-15:00,342.2486671
1980-05-17-06:00,342.2702083
1980-05-24-21:00,341.9738316
1980-06-01-12:00,341.5965111
1980-06-09-03:00,341.2537844
1980-06-16-18:00,340.9356426
1980-06-24-09:00,340.2939489
1980-07-02-00:00,339.4984523
1980-07-09-15:00,338.6484212
1980-07-17-06:00,337.776528
1980-07-24-21:00,336.9307909
1980-08-01-12:00,336.1465344
1980-08-09-03:00,335.4573244
1980-08-16-18:00,334.9023971
1980-08-24-09:00,334.5050968
1980-09-01-00:00,334.2843061
1980-09-08-15:00,334.2544799
1980-09-16-06:00,334.4215911
1980-09-23-21:00,334.9706079
1980-10-01-12:00,335.1612601
1980-10-09-03:00,335.718066
1980-10-16-18:00,336.3846434
1980-10-24-09:00,337.1083161
1980-11-01-00:00,337.8427896
1980-11-08-15:00,338.5430096
1980-11-16-06:00,339.1610941
1980-11-23-21:00,339.6720135
1980-12-01-12:00,340.0658931
1980-12-09-03:00,340.3460291
1980-12-16-18:00,340.5392143
1980-12-24-09:00,340.6828947
1981-01-01-00:00,340.8069022
1981-01-08-14:30,340.9720324
1981-01-16-05:00,341.1969608
1981-01-23-19:30,341.4906115
1981-01-31-10:00,341.84713
1981-02-08-00:30,342.2469832
1981-02-15-15:00,342.6566611
1981-02-23-05:30,343.0484299
1981-03-02-20:00,343.4015234
1981-03-10-10:30,343.7031936
1981-03-18-01:00,343.9597003
1981-03-25-15:30,344.18186
1981-04-02-06:00,344.381013
1981-04-09-20:30,344.5613234
1981-04-17-11:00,344.4815656
1981-04-25-01:30,344.5600399
1981-05-02-16:00,344.5285317
1981-05-10-06:30,344.3467316
1981-05-17-21:00,343.9917011
1981-05-25-11:30,343.4626492
1981-06-02-02:00,342.7847381
1981-06-09-16:30,342.0164066
1981-06-17-07:00,341.217339
1981-06-24-21:30,340.4396289
1981-07-02-12:00,339.7260003
1981-07-10-02:30,339.0787205
1981-07-17-17:00,338.4768294
1981-07-25-07:30,337.896554
1981-08-01-22:00,337.3120687
1981-08-09-12:30,337.4385958
1981-08-17-03:00,336.7721916
1981-08-24-17:30,336.1613647
1981-09-01-08:00,335.6727882
1981-09-08-22:30,335.3746851
1981-09-16-13:00,335.3056111
1981-09-24-03:30,335.4763991
1981-10-01-18:00,335.8628529
1981-10-09-08:30,336.4173096
1981-10-16-23:00,337.0835557
1981-10-24-13:30,337.7950733
1981-11-01-04:00,338.5037307
1981-11-08-18:30,339.17418
1981-11-16-09:00,339.7749278
1981-11-23-23:30,340.2958222
1981-12-01-14:00,340.7356976
1981-12-09-04:30,341.0966517
1981-12-16-19:00,341.3959655
1981-12-24-09:30,341.6561784
1982-01-01-00:00,341.9249509
1982-01-08-14:30,342.1688395
1982-01-16-05:00,342.428711
1982-01-23-19:30,342.7048262
1982-01-31-10:00,342.9942911
1982-02-08-00:30,343.2928191
1982-02-15-15:00,343.5963286
1982-02-23-05:30,343.9111761
1982-03-02-20:00,344.2476904
1982-03-10-10:30,344.6060693
1982-03-18-01:00,344.9824026
1982-03-25-15:30,345.3505913
1982-04-02-06:00,345.6643
1982-04-09-20:30,345.8763568
1982-04-17-11:00,345.9456127
1982-04-25-01:30,345.8521552
