"            Time" , "            CO2" 
"1764-01-01 00:00" ,    278.05158000 
"1765-01-01 00:00" ,    278.10615000 
"1766-01-01 00:00" ,    278.22039000 
"1767-01-01 00:00" ,    278.34305000 
"1768-01-01 00:00" ,    278.47058000 
"1769-01-01 00:00" ,    278.60047000 
"1770-01-01 00:00" ,    278.73275000 
"1771-01-01 00:00" ,    278.86881000 
"1772-01-01 00:00" ,    279.00907000 
"1773-01-01 00:00" ,    279.15318000 
"1774-01-01 00:00" ,    279.30180000 
"1775-01-01 00:00" ,    279.45680000 
"1776-01-01 00:00" ,    279.61808000 
"1777-01-01 00:00" ,    279.78192000 
"1778-01-01 00:00" ,    279.94320000 
"1779-01-01 00:00" ,    280.09740000 
"1780-01-01 00:00" ,    280.24280000 
"1781-01-01 00:00" ,    280.38168000 
"1782-01-01 00:00" ,    280.51832000 
"1783-01-01 00:00" ,    280.65720000 
"1784-01-01 00:00" ,    280.80260000 
"1785-01-01 00:00" ,    280.95680000 
"1786-01-01 00:00" ,    281.11808000 
"1787-01-01 00:00" ,    281.28192000 
"1788-01-01 00:00" ,    281.44320000 
"1789-01-01 00:00" ,    281.59820000 
"1790-01-01 00:00" ,    281.74682000 
"1791-01-01 00:00" ,    281.89093000 
"1792-01-01 00:00" ,    282.03119000 
"1793-01-01 00:00" ,    282.16725000 
"1794-01-01 00:00" ,    282.29901000 
"1795-01-01 00:00" ,    282.42680000 
"1796-01-01 00:00" ,    282.55093000 
"1797-01-01 00:00" ,    282.67123000 
"1798-01-01 00:00" ,    282.78730000 
"1799-01-01 00:00" ,    282.89901000 
"1800-01-01 00:00" ,    283.00677000 
"1801-01-01 00:00" ,    283.11093000 
"1802-01-01 00:00" ,    283.21129000 
"1803-01-01 00:00" ,    283.30737000 
"1804-01-01 00:00" ,    283.39963000 
"1805-01-01 00:00" ,    283.48978000 
"1806-01-01 00:00" ,    283.57796000 
"1807-01-01 00:00" ,    283.66116000 
"1808-01-01 00:00" ,    283.73511000 
"1809-01-01 00:00" ,    283.79676000 
"1810-01-01 00:00" ,    283.84667000 
"1811-01-01 00:00" ,    283.88853000 
"1812-01-01 00:00" ,    283.92613000 
"1813-01-01 00:00" ,    283.96267000 
"1814-01-01 00:00" ,    284.00107000 
"1815-01-01 00:00" ,    284.04267000 
"1816-01-01 00:00" ,    284.08613000 
"1817-01-01 00:00" ,    284.12853000 
"1818-01-01 00:00" ,    284.16667000 
"1819-01-01 00:00" ,    284.19820000 
"1820-01-01 00:00" ,    284.22333000 
"1821-01-01 00:00" ,    284.24427000 
"1822-01-01 00:00" ,    284.26307000 
"1823-01-01 00:00" ,    284.28133000 
"1824-01-01 00:00" ,    284.30027000 
"1825-01-01 00:00" ,    284.32000000 
"1826-01-01 00:00" ,    284.34000000 
"1827-01-01 00:00" ,    284.36000000 
"1828-01-01 00:00" ,    284.38000000 
"1829-01-01 00:00" ,    284.40000000 
"1830-01-01 00:00" ,    284.38500000 
"1831-01-01 00:00" ,    284.28000000 
"1832-01-01 00:00" ,    284.12500000 
"1833-01-01 00:00" ,    283.97500000 
"1834-01-01 00:00" ,    283.82500000 
"1835-01-01 00:00" ,    283.67500000 
"1836-01-01 00:00" ,    283.52500000 
"1837-01-01 00:00" ,    283.42500000 
"1838-01-01 00:00" ,    283.40000000 
"1839-01-01 00:00" ,    283.40000000 
"1840-01-01 00:00" ,    283.42500000 
"1841-01-01 00:00" ,    283.50000000 
"1842-01-01 00:00" ,    283.60000000 
"1843-01-01 00:00" ,    283.72500000 
"1844-01-01 00:00" ,    283.90000000 
"1845-01-01 00:00" ,    284.07500000 
"1846-01-01 00:00" ,    284.22500000 
"1847-01-01 00:00" ,    284.40000000 
"1848-01-01 00:00" ,    284.57500000 
"1849-01-01 00:00" ,    284.72500000 
"1850-01-01 00:00" ,    284.87500000 
"1851-01-01 00:00" ,    285.00000000 
"1852-01-01 00:00" ,    285.12500000 
"1853-01-01 00:00" ,    285.27500000 
"1854-01-01 00:00" ,    285.42500000 
"1855-01-01 00:00" ,    285.57500000 
"1856-01-01 00:00" ,    285.72500000 
"1857-01-01 00:00" ,    285.90000000 
"1858-01-01 00:00" ,    286.07500000 
"1859-01-01 00:00" ,    286.22500000 
"1860-01-01 00:00" ,    286.37500000 
"1861-01-01 00:00" ,    286.50000000 
"1862-01-01 00:00" ,    286.62500000 
"1863-01-01 00:00" ,    286.77500000 
"1864-01-01 00:00" ,    286.90000000 
"1865-01-01 00:00" ,    287.00000000 
"1866-01-01 00:00" ,    287.10000000 
"1867-01-01 00:00" ,    287.22500000 
"1868-01-01 00:00" ,    287.37500000 
"1869-01-01 00:00" ,    287.52500000 
"1870-01-01 00:00" ,    287.70000000 
"1871-01-01 00:00" ,    287.90000000 
"1872-01-01 00:00" ,    288.12500000 
"1873-01-01 00:00" ,    288.40000000 
"1874-01-01 00:00" ,    288.70000000 
"1875-01-01 00:00" ,    289.02500000 
"1876-01-01 00:00" ,    289.40000000 
"1877-01-01 00:00" ,    289.80000000 
"1878-01-01 00:00" ,    290.22500000 
"1879-01-01 00:00" ,    290.70000000 
"1880-01-01 00:00" ,    291.20000000 
"1881-01-01 00:00" ,    291.67500000 
"1882-01-01 00:00" ,    292.12500000 
"1883-01-01 00:00" ,    292.57500000 
"1884-01-01 00:00" ,    292.97500000 
"1885-01-01 00:00" ,    293.30000000 
"1886-01-01 00:00" ,    293.57500000 
"1887-01-01 00:00" ,    293.80000000 
"1888-01-01 00:00" ,    294.00000000 
"1889-01-01 00:00" ,    294.17500000 
"1890-01-01 00:00" ,    294.32500000 
"1891-01-01 00:00" ,    294.47500000 
"1892-01-01 00:00" ,    294.60000000 
"1893-01-01 00:00" ,    294.70000000 
"1894-01-01 00:00" ,    294.80000000 
"1895-01-01 00:00" ,    294.90000000 
"1896-01-01 00:00" ,    295.02500000 
"1897-01-01 00:00" ,    295.22500000 
"1898-01-01 00:00" ,    295.50000000 
"1899-01-01 00:00" ,    295.80000000 
"1900-01-01 00:00" ,    296.12500000 
"1901-01-01 00:00" ,    296.47500000 
"1902-01-01 00:00" ,    296.82500000 
"1903-01-01 00:00" ,    297.20000000 
"1904-01-01 00:00" ,    297.62500000 
"1905-01-01 00:00" ,    298.07500000 
"1906-01-01 00:00" ,    298.50000000 
"1907-01-01 00:00" ,    298.90000000 
"1908-01-01 00:00" ,    299.30000000 
"1909-01-01 00:00" ,    299.70000000 
"1910-01-01 00:00" ,    300.07500000 
"1911-01-01 00:00" ,    300.42500000 
"1912-01-01 00:00" ,    300.77500000 
"1913-01-01 00:00" ,    301.10000000 
"1914-01-01 00:00" ,    301.40000000 
"1915-01-01 00:00" ,    301.72500000 
"1916-01-01 00:00" ,    302.07500000 
"1917-01-01 00:00" ,    302.40000000 
"1918-01-01 00:00" ,    302.70000000 
"1919-01-01 00:00" ,    303.02500000 
"1920-01-01 00:00" ,    303.40000000 
"1921-01-01 00:00" ,    303.77500000 
"1922-01-01 00:00" ,    304.12500000 
"1923-01-01 00:00" ,    304.52500000 
"1924-01-01 00:00" ,    304.97500000 
"1925-01-01 00:00" ,    305.40000000 
"1926-01-01 00:00" ,    305.82500000 
"1927-01-01 00:00" ,    306.30000000 
"1928-01-01 00:00" ,    306.77500000 
"1929-01-01 00:00" ,    307.22500000 
"1930-01-01 00:00" ,    307.70000000 
"1931-01-01 00:00" ,    308.17500000 
"1932-01-01 00:00" ,    308.60000000 
"1933-01-01 00:00" ,    309.00000000 
"1934-01-01 00:00" ,    309.40000000 
"1935-01-01 00:00" ,    309.75000000 
"1936-01-01 00:00" ,    310.00000000 
"1937-01-01 00:00" ,    310.17500000 
"1938-01-01 00:00" ,    310.30000000 
"1939-01-01 00:00" ,    310.37500000 
"1940-01-01 00:00" ,    310.37500000 
"1941-01-01 00:00" ,    310.30000000 
"1942-01-01 00:00" ,    310.20000000 
"1943-01-01 00:00" ,    310.12500000 
"1944-01-01 00:00" ,    310.10000000 
"1945-01-01 00:00" ,    310.12500000 
"1946-01-01 00:00" ,    310.20000000 
"1947-01-01 00:00" ,    310.32500000 
"1948-01-01 00:00" ,    310.50000000 
"1949-01-01 00:00" ,    310.75000000 
"1950-01-01 00:00" ,    311.10000000 
"1951-01-01 00:00" ,    311.50000000 
"1952-01-01 00:00" ,    311.92500000 
"1953-01-01 00:00" ,    312.42500000 
"1954-01-01 00:00" ,    313.00000000 
"1955-01-01 00:00" ,    313.60000000 
"1956-01-01 00:00" ,    314.22500000 
"1957-01-01 00:00" ,    314.84750000 
"1958-01-01 00:00" ,    315.50000000 
"1959-01-01 00:00" ,    316.27250000 
"1960-01-01 00:00" ,    317.07500000 
"1961-01-01 00:00" ,    317.79500000 
"1962-01-01 00:00" ,    318.39750000 
"1963-01-01 00:00" ,    318.92500000 
"1964-01-01 00:00" ,    319.64750000 
"1965-01-01 00:00" ,    320.64750000 
"1966-01-01 00:00" ,    321.60500000 
"1967-01-01 00:00" ,    322.63500000 
"1968-01-01 00:00" ,    323.90250000 
"1969-01-01 00:00" ,    324.98500000 
"1970-01-01 00:00" ,    325.85500000 
"1971-01-01 00:00" ,    327.14000000 
"1972-01-01 00:00" ,    328.67750000 
"1973-01-01 00:00" ,    329.74250000 
"1974-01-01 00:00" ,    330.58500000 
"1975-01-01 00:00" ,    331.74750000 
"1976-01-01 00:00" ,    333.27250000 
"1977-01-01 00:00" ,    334.84750000 
"1978-01-01 00:00" ,    336.52500000 
"1979-01-01 00:00" ,    338.36000000 
"1980-01-01 00:00" ,    339.72750000 
"1981-01-01 00:00" ,    340.79250000 
"1982-01-01 00:00" ,    342.19750000 
"1983-01-01 00:00" ,    343.78250000 
"1984-01-01 00:00" ,    345.28250000 
"1985-01-01 00:00" ,    346.79750000 
"1986-01-01 00:00" ,    348.64500000 
"1987-01-01 00:00" ,    350.73750000 
"1988-01-01 00:00" ,    352.48750000 
